Survived,Pclass,Age,SibSp,Fare,Sex_0,Sex_1,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Embarked_0,Embarked_1,Embarked_2
0,3,22.0,1,7.25,1,0,1,0,0,0,0,0,0,1,0,0
1,1,38.0,1,71.2833,0,1,1,0,0,0,0,0,0,0,1,0
1,3,26.0,0,7.925,0,1,1,0,0,0,0,0,0,1,0,0
1,1,35.0,1,53.1,0,1,1,0,0,0,0,0,0,1,0,0
0,3,35.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,8.4583,1,0,1,0,0,0,0,0,0,0,0,1
0,1,54.0,0,51.8625,1,0,1,0,0,0,0,0,0,1,0,0
0,3,2.0,3,21.075,1,0,0,1,0,0,0,0,0,1,0,0
1,3,27.0,0,11.1333,0,1,0,0,1,0,0,0,0,1,0,0
1,2,14.0,1,30.0708,0,1,1,0,0,0,0,0,0,0,1,0
1,3,4.0,1,16.7,0,1,0,1,0,0,0,0,0,1,0,0
1,1,58.0,0,26.55,0,1,1,0,0,0,0,0,0,1,0,0
0,3,20.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,39.0,1,31.275,1,0,0,0,0,0,0,1,0,1,0,0
0,3,14.0,0,7.8542,0,1,1,0,0,0,0,0,0,1,0,0
1,2,55.0,0,16.0,0,1,1,0,0,0,0,0,0,1,0,0
0,3,2.0,4,29.125,1,0,0,1,0,0,0,0,0,0,0,1
1,2,29.69911764705882,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,31.0,1,18.0,0,1,1,0,0,0,0,0,0,1,0,0
1,3,29.69911764705882,0,7.225,0,1,1,0,0,0,0,0,0,0,1,0
0,2,35.0,0,26.0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,34.0,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
1,3,15.0,0,8.0292,0,1,1,0,0,0,0,0,0,0,0,1
1,1,28.0,0,35.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,8.0,3,21.075,0,1,0,1,0,0,0,0,0,1,0,0
1,3,38.0,1,31.3875,0,1,0,0,0,0,0,1,0,1,0,0
0,3,29.69911764705882,0,7.225,1,0,1,0,0,0,0,0,0,0,1,0
0,1,19.0,3,263.0,1,0,0,0,1,0,0,0,0,1,0,0
1,3,29.69911764705882,0,7.8792,0,1,1,0,0,0,0,0,0,0,0,1
0,3,29.69911764705882,0,7.8958,1,0,1,0,0,0,0,0,0,1,0,0
0,1,40.0,0,27.7208,1,0,1,0,0,0,0,0,0,0,1,0
1,1,29.69911764705882,1,146.5208,0,1,1,0,0,0,0,0,0,0,1,0
1,3,29.69911764705882,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1
0,2,66.0,0,10.5,1,0,1,0,0,0,0,0,0,1,0,0
0,1,28.0,1,82.1708,1,0,1,0,0,0,0,0,0,0,1,0
0,1,42.0,1,52.0,1,0,1,0,0,0,0,0,0,1,0,0
1,3,29.69911764705882,0,7.2292,1,0,1,0,0,0,0,0,0,0,1,0
0,3,21.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,18.0,2,18.0,0,1,1,0,0,0,0,0,0,1,0,0
1,3,14.0,1,11.2417,0,1,1,0,0,0,0,0,0,0,1,0
0,3,40.0,1,9.475,0,1,1,0,0,0,0,0,0,1,0,0
0,2,27.0,1,21.0,0,1,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,7.8958,1,0,1,0,0,0,0,0,0,0,1,0
1,2,3.0,1,41.5792,0,1,0,0,1,0,0,0,0,0,1,0
1,3,19.0,0,7.8792,0,1,1,0,0,0,0,0,0,0,0,1
0,3,29.69911764705882,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,1,15.5,1,0,1,0,0,0,0,0,0,0,0,1
1,3,29.69911764705882,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1
0,3,29.69911764705882,2,21.6792,1,0,1,0,0,0,0,0,0,0,1,0
0,3,18.0,1,17.8,0,1,1,0,0,0,0,0,0,1,0,0
0,3,7.0,4,39.6875,1,0,0,1,0,0,0,0,0,1,0,0
0,3,21.0,0,7.8,1,0,1,0,0,0,0,0,0,1,0,0
1,1,49.0,1,76.7292,0,1,1,0,0,0,0,0,0,0,1,0
1,2,29.0,1,26.0,0,1,1,0,0,0,0,0,0,1,0,0
0,1,65.0,0,61.9792,1,0,0,1,0,0,0,0,0,0,1,0
1,1,29.69911764705882,0,35.5,1,0,1,0,0,0,0,0,0,1,0,0
1,2,21.0,0,10.5,0,1,1,0,0,0,0,0,0,1,0,0
0,3,28.5,0,7.2292,1,0,1,0,0,0,0,0,0,0,1,0
1,2,5.0,1,27.75,0,1,0,0,1,0,0,0,0,1,0,0
0,3,11.0,5,46.9,1,0,0,0,1,0,0,0,0,1,0,0
0,3,22.0,0,7.2292,1,0,1,0,0,0,0,0,0,0,1,0
1,1,38.0,0,80.0,0,1,1,0,0,0,0,0,0,1,0,0
0,1,45.0,1,83.475,1,0,1,0,0,0,0,0,0,1,0,0
0,3,4.0,3,27.9,1,0,0,0,1,0,0,0,0,1,0,0
0,1,29.69911764705882,0,27.7208,1,0,1,0,0,0,0,0,0,0,1,0
1,3,29.69911764705882,1,15.2458,1,0,0,1,0,0,0,0,0,0,1,0
1,2,29.0,0,10.5,0,1,1,0,0,0,0,0,0,1,0,0
0,3,19.0,0,8.1583,1,0,1,0,0,0,0,0,0,1,0,0
1,3,17.0,4,7.925,0,1,0,0,1,0,0,0,0,1,0,0
0,3,26.0,2,8.6625,1,0,1,0,0,0,0,0,0,1,0,0
0,2,32.0,0,10.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,16.0,5,46.9,0,1,0,0,1,0,0,0,0,1,0,0
0,2,21.0,0,73.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,26.0,1,14.4542,1,0,1,0,0,0,0,0,0,0,1,0
1,3,32.0,0,56.4958,1,0,1,0,0,0,0,0,0,1,0,0
0,3,25.0,0,7.65,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,7.8958,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
1,2,0.83,0,29.0,1,0,0,0,1,0,0,0,0,1,0,0
1,3,30.0,0,12.475,0,1,1,0,0,0,0,0,0,1,0,0
0,3,22.0,0,9.0,1,0,1,0,0,0,0,0,0,1,0,0
1,3,29.0,0,9.5,1,0,1,0,0,0,0,0,0,1,0,0
1,3,29.69911764705882,0,7.7875,0,1,1,0,0,0,0,0,0,0,0,1
0,1,28.0,0,47.1,1,0,1,0,0,0,0,0,0,1,0,0
1,2,17.0,0,10.5,0,1,1,0,0,0,0,0,0,1,0,0
1,3,33.0,3,15.85,0,1,1,0,0,0,0,0,0,1,0,0
0,3,16.0,1,34.375,1,0,0,0,0,1,0,0,0,1,0,0
0,3,29.69911764705882,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
1,1,23.0,3,263.0,0,1,0,0,1,0,0,0,0,1,0,0
0,3,24.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,20.0,0,7.8542,1,0,1,0,0,0,0,0,0,1,0,0
0,1,46.0,1,61.175,1,0,1,0,0,0,0,0,0,1,0,0
0,3,26.0,1,20.575,1,0,0,0,1,0,0,0,0,1,0,0
0,3,59.0,0,7.25,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,1,71.0,0,34.6542,1,0,1,0,0,0,0,0,0,0,1,0
1,1,23.0,0,63.3583,1,0,0,1,0,0,0,0,0,0,1,0
1,2,34.0,0,23.0,0,1,0,1,0,0,0,0,0,1,0,0
0,2,34.0,1,26.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,28.0,0,7.8958,0,1,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,7.8958,1,0,1,0,0,0,0,0,0,1,0,0
0,1,21.0,0,77.2875,1,0,0,1,0,0,0,0,0,1,0,0
0,3,33.0,0,8.6542,1,0,1,0,0,0,0,0,0,1,0,0
0,3,37.0,2,7.925,1,0,1,0,0,0,0,0,0,1,0,0
0,3,28.0,0,7.8958,1,0,1,0,0,0,0,0,0,1,0,0
1,3,21.0,0,7.65,0,1,1,0,0,0,0,0,0,1,0,0
1,3,29.69911764705882,0,7.775,1,0,1,0,0,0,0,0,0,1,0,0
0,3,38.0,0,7.8958,1,0,1,0,0,0,0,0,0,1,0,0
1,3,29.69911764705882,1,24.15,0,1,1,0,0,0,0,0,0,0,0,1
0,1,47.0,0,52.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,14.5,1,14.4542,0,1,1,0,0,0,0,0,0,0,1,0
0,3,22.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,20.0,1,9.825,0,1,1,0,0,0,0,0,0,1,0,0
0,3,17.0,0,14.4583,0,1,1,0,0,0,0,0,0,0,1,0
0,3,21.0,0,7.925,1,0,1,0,0,0,0,0,0,1,0,0
0,3,70.5,0,7.75,1,0,1,0,0,0,0,0,0,0,0,1
0,2,29.0,1,21.0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,24.0,0,247.5208,1,0,0,1,0,0,0,0,0,0,1,0
0,3,2.0,4,31.275,0,1,0,0,1,0,0,0,0,1,0,0
0,2,21.0,2,73.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,2,32.5,1,30.0708,1,0,1,0,0,0,0,0,0,0,1,0
1,2,32.5,0,13.0,0,1,1,0,0,0,0,0,0,1,0,0
0,1,54.0,0,77.2875,1,0,0,1,0,0,0,0,0,1,0,0
1,3,12.0,1,11.2417,1,0,1,0,0,0,0,0,0,0,1,0
0,3,29.69911764705882,0,7.75,1,0,1,0,0,0,0,0,0,0,0,1
1,3,24.0,0,7.1417,1,0,1,0,0,0,0,0,0,1,0,0
1,3,29.69911764705882,1,22.3583,0,1,0,1,0,0,0,0,0,0,1,0
0,3,45.0,0,6.975,1,0,1,0,0,0,0,0,0,1,0,0
0,3,33.0,0,7.8958,1,0,1,0,0,0,0,0,0,0,1,0
0,3,20.0,0,7.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,47.0,1,14.5,0,1,1,0,0,0,0,0,0,1,0,0
1,2,29.0,1,26.0,0,1,1,0,0,0,0,0,0,1,0,0
0,2,25.0,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,23.0,0,15.0458,1,0,1,0,0,0,0,0,0,0,1,0
1,1,19.0,0,26.2833,0,1,0,0,1,0,0,0,0,1,0,0
0,1,37.0,1,53.1,1,0,1,0,0,0,0,0,0,1,0,0
0,3,16.0,0,9.2167,1,0,1,0,0,0,0,0,0,1,0,0
0,1,24.0,0,79.2,1,0,1,0,0,0,0,0,0,0,1,0
0,3,29.69911764705882,0,15.2458,0,1,0,0,1,0,0,0,0,0,1,0
1,3,22.0,0,7.75,0,1,1,0,0,0,0,0,0,1,0,0
1,3,24.0,1,15.85,0,1,1,0,0,0,0,0,0,1,0,0
0,3,19.0,0,6.75,1,0,1,0,0,0,0,0,0,0,0,1
0,2,18.0,0,11.5,1,0,1,0,0,0,0,0,0,1,0,0
0,2,19.0,1,36.75,1,0,0,1,0,0,0,0,0,1,0,0
1,3,27.0,0,7.7958,1,0,1,0,0,0,0,0,0,1,0,0
0,3,9.0,2,34.375,0,1,0,0,1,0,0,0,0,1,0,0
0,2,36.5,0,26.0,1,0,0,0,1,0,0,0,0,1,0,0
0,2,42.0,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,51.0,0,12.525,1,0,1,0,0,0,0,0,0,1,0,0
1,1,22.0,1,66.6,0,1,1,0,0,0,0,0,0,1,0,0
0,3,55.5,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,40.5,0,14.5,1,0,0,0,1,0,0,0,0,1,0,0
0,3,29.69911764705882,0,7.3125,1,0,1,0,0,0,0,0,0,1,0,0
0,1,51.0,0,61.3792,1,0,0,1,0,0,0,0,0,0,1,0
1,3,16.0,0,7.7333,0,1,1,0,0,0,0,0,0,0,0,1
0,3,30.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,8.6625,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,8,69.55,1,0,0,0,1,0,0,0,0,1,0,0
0,3,44.0,0,16.1,1,0,0,1,0,0,0,0,0,1,0,0
1,2,40.0,0,15.75,0,1,1,0,0,0,0,0,0,1,0,0
0,3,26.0,0,7.775,1,0,1,0,0,0,0,0,0,1,0,0
0,3,17.0,0,8.6625,1,0,1,0,0,0,0,0,0,1,0,0
0,3,1.0,4,39.6875,1,0,0,1,0,0,0,0,0,1,0,0
1,3,9.0,0,20.525,1,0,0,0,1,0,0,0,0,1,0,0
1,1,29.69911764705882,0,55.0,0,1,0,1,0,0,0,0,0,1,0,0
0,3,45.0,1,27.9,0,1,0,0,0,0,1,0,0,1,0,0
0,1,29.69911764705882,0,25.925,1,0,1,0,0,0,0,0,0,1,0,0
0,3,28.0,0,56.4958,1,0,1,0,0,0,0,0,0,1,0,0
0,1,61.0,0,33.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,4.0,4,29.125,1,0,0,1,0,0,0,0,0,0,0,1
1,3,1.0,1,11.1333,0,1,0,1,0,0,0,0,0,1,0,0
0,3,21.0,0,7.925,1,0,1,0,0,0,0,0,0,1,0,0
0,1,56.0,0,30.6958,1,0,1,0,0,0,0,0,0,0,1,0
0,3,18.0,1,7.8542,1,0,0,1,0,0,0,0,0,1,0,0
0,3,29.69911764705882,3,25.4667,1,0,0,1,0,0,0,0,0,1,0,0
0,1,50.0,0,28.7125,0,1,1,0,0,0,0,0,0,0,1,0
0,2,30.0,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,36.0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,8,69.55,0,1,0,0,1,0,0,0,0,1,0,0
0,2,29.69911764705882,0,15.05,1,0,1,0,0,0,0,0,0,0,1,0
0,3,9.0,4,31.3875,1,0,0,0,1,0,0,0,0,1,0,0
1,2,1.0,2,39.0,1,0,0,1,0,0,0,0,0,1,0,0
1,3,4.0,0,22.025,0,1,0,0,1,0,0,0,0,1,0,0
0,1,29.69911764705882,0,50.0,1,0,1,0,0,0,0,0,0,1,0,0
1,3,29.69911764705882,1,15.5,0,1,1,0,0,0,0,0,0,0,0,1
1,1,45.0,0,26.55,1,0,1,0,0,0,0,0,0,1,0,0
0,3,40.0,1,15.5,1,0,0,1,0,0,0,0,0,0,0,1
0,3,36.0,0,7.8958,1,0,1,0,0,0,0,0,0,1,0,0
1,2,32.0,0,13.0,0,1,1,0,0,0,0,0,0,1,0,0
0,2,19.0,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
1,3,19.0,1,7.8542,0,1,1,0,0,0,0,0,0,1,0,0
1,2,3.0,1,26.0,1,0,0,1,0,0,0,0,0,1,0,0
1,1,44.0,0,27.7208,0,1,1,0,0,0,0,0,0,0,1,0
1,1,58.0,0,146.5208,0,1,1,0,0,0,0,0,0,0,1,0
0,3,29.69911764705882,0,7.75,1,0,1,0,0,0,0,0,0,0,0,1
0,3,42.0,0,8.4042,1,0,0,1,0,0,0,0,0,1,0,0
1,3,29.69911764705882,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1
0,2,24.0,0,13.0,0,1,1,0,0,0,0,0,0,1,0,0
0,3,28.0,0,9.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,8,69.55,1,0,0,0,1,0,0,0,0,1,0,0
0,3,34.0,0,6.4958,1,0,1,0,0,0,0,0,0,1,0,0
0,3,45.5,0,7.225,1,0,1,0,0,0,0,0,0,0,1,0
1,3,18.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,2.0,0,10.4625,0,1,0,1,0,0,0,0,0,1,0,0
0,3,32.0,1,15.85,1,0,1,0,0,0,0,0,0,1,0,0
1,3,26.0,0,18.7875,1,0,1,0,0,0,0,0,0,0,1,0
1,3,16.0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1
1,1,40.0,0,31.0,1,0,1,0,0,0,0,0,0,0,1,0
0,3,24.0,0,7.05,1,0,1,0,0,0,0,0,0,1,0,0
1,2,35.0,0,21.0,0,1,1,0,0,0,0,0,0,1,0,0
0,3,22.0,0,7.25,1,0,1,0,0,0,0,0,0,1,0,0
0,2,30.0,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,1,7.75,1,0,1,0,0,0,0,0,0,0,0,1
1,1,31.0,1,113.275,0,1,1,0,0,0,0,0,0,0,1,0
1,3,27.0,0,7.925,0,1,1,0,0,0,0,0,0,1,0,0
0,2,42.0,1,27.0,1,0,1,0,0,0,0,0,0,1,0,0
1,1,32.0,0,76.2917,0,1,1,0,0,0,0,0,0,0,1,0
0,2,30.0,0,10.5,1,0,1,0,0,0,0,0,0,1,0,0
1,3,16.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,2,27.0,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,51.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,7.8958,1,0,1,0,0,0,0,0,0,1,0,0
1,1,38.0,1,90.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,22.0,0,9.35,1,0,1,0,0,0,0,0,0,1,0,0
1,2,19.0,0,10.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,20.5,0,7.25,1,0,1,0,0,0,0,0,0,1,0,0
0,2,18.0,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,3,25.4667,0,1,0,1,0,0,0,0,0,1,0,0
1,1,35.0,1,83.475,0,1,1,0,0,0,0,0,0,1,0,0
0,3,29.0,0,7.775,1,0,1,0,0,0,0,0,0,1,0,0
0,2,59.0,0,13.5,1,0,1,0,0,0,0,0,0,1,0,0
1,3,5.0,4,31.3875,0,1,0,0,1,0,0,0,0,1,0,0
0,2,24.0,0,10.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,7.55,0,1,1,0,0,0,0,0,0,1,0,0
0,2,44.0,1,26.0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,8.0,0,26.25,0,1,0,0,1,0,0,0,0,1,0,0
0,2,19.0,0,10.5,1,0,1,0,0,0,0,0,0,1,0,0
0,2,33.0,0,12.275,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,1,14.4542,0,1,1,0,0,0,0,0,0,0,1,0
1,3,29.69911764705882,1,15.5,0,1,1,0,0,0,0,0,0,0,0,1
0,2,29.0,0,10.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,22.0,0,7.125,1,0,1,0,0,0,0,0,0,1,0,0
0,3,30.0,0,7.225,1,0,1,0,0,0,0,0,0,0,1,0
0,1,44.0,2,90.0,1,0,1,0,0,0,0,0,0,0,0,1
0,3,25.0,0,7.775,0,1,1,0,0,0,0,0,0,1,0,0
1,2,24.0,0,14.5,0,1,0,0,1,0,0,0,0,1,0,0
1,1,37.0,1,52.5542,1,0,0,1,0,0,0,0,0,1,0,0
0,2,54.0,1,26.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,7.25,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.0,1,10.4625,0,1,0,1,0,0,0,0,0,1,0,0
0,1,62.0,0,26.55,1,0,1,0,0,0,0,0,0,1,0,0
0,3,30.0,1,16.1,1,0,1,0,0,0,0,0,0,1,0,0
0,3,41.0,0,20.2125,0,1,0,0,1,0,0,0,0,1,0,0
1,3,29.0,0,15.2458,0,1,0,0,1,0,0,0,0,0,1,0
1,1,29.69911764705882,0,79.2,0,1,1,0,0,0,0,0,0,0,1,0
1,1,30.0,0,86.5,0,1,1,0,0,0,0,0,0,1,0,0
1,1,35.0,0,512.3292,0,1,1,0,0,0,0,0,0,0,1,0
1,2,50.0,0,26.0,0,1,0,1,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,7.75,1,0,1,0,0,0,0,0,0,0,0,1
1,3,3.0,4,31.3875,1,0,0,0,1,0,0,0,0,1,0,0
0,1,52.0,1,79.65,1,0,0,1,0,0,0,0,0,1,0,0
0,1,40.0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1
0,2,36.0,0,10.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,16.0,4,39.6875,1,0,0,1,0,0,0,0,0,1,0,0
1,3,25.0,1,7.775,1,0,1,0,0,0,0,0,0,1,0,0
1,1,58.0,0,153.4625,0,1,0,1,0,0,0,0,0,1,0,0
1,1,35.0,0,135.6333,0,1,1,0,0,0,0,0,0,1,0,0
0,1,29.69911764705882,0,31.0,1,0,1,0,0,0,0,0,0,1,0,0
1,3,25.0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,41.0,0,19.5,0,1,0,1,0,0,0,0,0,1,0,0
0,1,37.0,0,29.7,1,0,0,1,0,0,0,0,0,0,1,0
1,3,29.69911764705882,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1
1,1,63.0,1,77.9583,0,1,1,0,0,0,0,0,0,1,0,0
0,3,45.0,0,7.75,0,1,1,0,0,0,0,0,0,1,0,0
0,2,29.69911764705882,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,7.0,4,29.125,1,0,0,1,0,0,0,0,0,0,0,1
1,3,35.0,1,20.25,0,1,0,1,0,0,0,0,0,1,0,0
0,3,65.0,0,7.75,1,0,1,0,0,0,0,0,0,0,0,1
0,3,28.0,0,7.8542,1,0,1,0,0,0,0,0,0,1,0,0
0,3,16.0,0,9.5,1,0,1,0,0,0,0,0,0,1,0,0
1,3,19.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,1,29.69911764705882,0,26.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,33.0,0,8.6625,1,0,1,0,0,0,0,0,0,0,1,0
1,3,30.0,0,9.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,22.0,0,7.8958,1,0,1,0,0,0,0,0,0,1,0,0
1,2,42.0,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
1,3,22.0,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1
1,1,26.0,0,78.85,0,1,1,0,0,0,0,0,0,1,0,0
1,1,19.0,1,91.0792,0,1,1,0,0,0,0,0,0,0,1,0
0,2,36.0,0,12.875,1,0,1,0,0,0,0,0,0,0,1,0
0,3,24.0,0,8.85,0,1,1,0,0,0,0,0,0,1,0,0
0,3,24.0,0,7.8958,1,0,1,0,0,0,0,0,0,1,0,0
0,1,29.69911764705882,0,27.7208,1,0,1,0,0,0,0,0,0,0,1,0
0,3,23.5,0,7.2292,1,0,1,0,0,0,0,0,0,0,1,0
0,1,2.0,1,151.55,0,1,0,0,1,0,0,0,0,1,0,0
1,1,29.69911764705882,0,30.5,1,0,1,0,0,0,0,0,0,1,0,0
1,1,50.0,0,247.5208,0,1,0,1,0,0,0,0,0,0,1,0
